Section,StemLength,StemHeight,StemDiam,CanopyCover,Twigs,Moose,Hare,Ptarmagin,PropMoose,PropHare,PropPtarmagin,Bin_Moose,Bin_Hare,Bin_Ptarmagin,Binary_Browse,MooseFeces,HareFeces ,PtarmaginFeces,AvgMooseDensity,2015MooseDensity,DistToRoad,RoadSide,GMU,VegCoverOBS,SoilText,SoilMoist,LastBurn,Elevation,Aspect,Slope,X_Cord,Y_Cord,iem.summ.temp,iem.temp,iem.pre,iem.summ.rain,iem.wint.rain,summ.temp,temp,summ.min,summ.max,wint.rain,pet,wet,frost,summ.rain
1,98.73333333,,10.46666667,9.066666667,339,9,18,0,0.026548673,0.053097345,0,1,0,0,1,0,8,0,0.375,0.375,1418.938711,West,20F,Low Shrub,Silt Loam,Mesic,0,110.9471322,201.4,1.490590733,-149.8405228,65.91003953,14.69731749,-5.321979383,201.3351141,120.6307799,80.70433427,14.04511133,-3.418000066,8.892666782,19.24044488,74.29866759,1.03844446,100.6039975,235.810198,179.6426702
2,96.84210526,71.26315789,13.36842105,4.368421053,212,1,14,0,0.004716981,0.066037736,0,1,0,0,1,0,3,0,0.375,0.375,871.7504732,West,20F,Black Spruce Woodland,Clay Loam,Mesic,0,131.5985596,150.2105263,1.800033,-150.1400879,66.02294132,15.05024757,-5.162084173,188.0204817,110.842233,77.17824867,12.71230182,-5.168353269,7.610317582,17.86478205,60.95952509,1.109176607,101.8994025,248.7986287,172.6842296
3,113.9375,,16.8125,6.5625,681,16,0,0,0.02349486,0,0,1,0,0,1,6,0,1,0.375,0.375,1073.843486,West,20F,Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,573.965744,62.75,9.10317825,-150.2779135,66.2131525,12.61940921,-5.744092835,469.9240506,258.5189873,211.4050633,12.53924077,-4.996729989,7.400843999,17.72869209,69.72911571,1.149261622,108.986706,250.4527829,189.5468372
4,110.5384615,77.15384615,15.61538462,9.384615385,280,0,0,7,0,0,0.025,0,1,1,1,1,0,1,0.917,0.77,910.2795938,East,24A,Low Shrub,Gravely Sand Loam,Mesic,2004,558.2048904,68.23076923,6.353243846,-150.4326324,66.348959,12.34067897,-5.754585199,471.3620716,262.6683159,208.6937557,12.55974051,-5.004761952,7.448052066,17.72207806,66.88311856,1.134632053,106.34727,249.7963617,186.3272748
5,103.1875,,15,0.9375,422,9,0,35,0.021327014,0,0.082938389,1,1,1,1,0,0,1,0.917,0.77,956.3349185,West,24A,Low Shrub,Sandy Loam,Mesic,2004,425.4118883,334.75,4.00826275,-150.5658073,66.4010885,12.61651088,-5.651713402,408.0934579,239.6261682,168.4672897,12.77757027,-4.923754004,7.619626314,17.97632428,76.45981524,1.134501577,108.8327076,248.5720539,181.9140214
6,81.33333333,45.66666667,8.666666667,0.333333333,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0.917,0.77,675.8863792,West,24A,Low Shrub,Gravely Sand Loam,Mesic,0,514.1700574,163.5555556,7.902884111,-150.7375263,66.49843622,12.80199441,-5.639328155,389.2210507,253.2476942,135.9733565,12.93647364,-4.892693342,7.839613677,18.08309208,65.95434952,1.097282629,101.909708,246.1905774,175.815945
7,75.25,38.125,14.75,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0.917,0.77,1368.840519,East,24A,Low Shrub,Clay Loam,Mesic,2005,464.903839,58.5,7.113271,-150.6758965,66.5993765,13.24615381,-5.435790614,384.525641,243.3717949,141.1538462,13.02564127,-5.185256506,7.867948844,18.23632521,78.32179632,1.162393186,106.1219208,247.4971774,169.5705162
8,108.8181818,75.36363636,18.18181818,6.181818182,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0.917,0.77,1026.51025,East,24A,Low Shrub,Sandy Loam,Mesic - Hydric,2005,303.4172671,353.4545455,6.310426273,-150.646888,66.70988982,13.50326796,-5.394444432,359.8823529,229.7156863,130.1666667,13.01764732,-5.224754998,7.871895558,18.21601352,78.76666817,1.15808826,106.1670565,247.4453901,168.2470623
9,121.9375,87.375,12.75,21.1875,372,94,6,0,0.252688172,0.016129032,0,1,0,0,1,8,4,0,0.917,0.77,969.8864675,West,24A,Tall Shrub,Clay Loam,Mesic - Hydric,0,427.3898773,147.75,7.676592,-150.4846005,66.91197425,13.10063424,-5.5986831,345.7021072,232.9118356,112.7902716,11.47619072,-6.3947692,6.489177567,16.51630615,47.37316098,1.089033207,96.34657783,259.1638072,169.8212153
10,95,62.22222222,10.66666667,0,73,0,0,0,0,0,0,0,0,0,0,1,0,0,0.917,0.77,718.4964007,East,24A,Low Shrub,Clay Loam,Mesic,0,478.3157888,299,23.68763189,-150.3619452,66.95847222,12.25951428,-6.470932707,373.6048764,248.4293447,125.1755317,11.49234258,-6.443130712,6.489639722,16.54864888,48.80270356,1.090540559,96.73709239,259.2185112,167.6959489
11,114.8125,78.1875,16.75,4.4375,610,0,0,48,0,0,0.078688525,0,1,1,1,0,0,1,0.917,0.77,1297.554974,East,24A,Low Shrub,Sandy Loam,Mesic - Xeric,2005,586.0940782,52.125,14.32950281,-150.2858428,67.04689456,12.94875014,-5.979166628,412.275,254.2,158.075,11.4304169,-6.542708461,6.360833477,16.54291706,54.16125116,1.08281252,103.1604978,260.7443723,171.191254
12,101.4375,72.25,14,4.125,231,30,0,0,0.12987013,0,0,1,0,0,1,4,0,0,0.917,0.77,1302.970654,East,24A,Low Shrub,Clay Loam,Mesic,0,347.9133228,187.5,2.33407575,-150.1912808,67.22853825,13.5727056,-5.942386035,356.4013078,209.6430696,146.7582382,11.44694858,-6.780633939,6.436463339,16.50125228,49.93192574,1.108685466,98.51633579,260.0903733,155.063383
13,118.2142857,81.35714286,17.07142857,5.142857143,342,34,20,0,0.099415205,0.058479532,0,1,0,0,1,5,6,0,0.917,0.77,695.2640243,East,24A,Tall Shrub,Clay Loam,Mesic,0,426.9361836,257,13.37667529,-150.1095004,67.36920271,13.14469987,-5.840536138,262.5449183,164.9975583,97.54735992,11.44692441,-6.765522313,6.443061632,16.4952793,49.38841287,1.107260391,97.77304499,259.9911566,153.9897023
14,109.6875,81.0625,13.125,9,324,66,3,0,0.203703704,0.009259259,0,1,0,0,1,5,0,0,0.917,0.77,1616.604813,East,24A,Low Shrub,Clay Loam,Mesic,0,494.762764,288.5,3.04760775,-149.8596823,67.47584425,12.3385975,-6.076816597,269.631859,173.2710175,96.36084142,9.59852958,-8.166871072,4.771241894,14.47205913,24.75931408,0.995547408,78.48235129,275.3698508,159.1779442
15,106.8125,64.4375,13.0625,7.25,311,15,4,0,0.048231511,0.012861736,0,1,0,0,1,4,3,0,0.917,0.77,928.1753393,East,24A,Low Shrub,Loam,Mesic,0,560.7332,305,25.8179975,-149.7936523,67.57157725,12.68604651,-6.127874669,217.0813953,136.8139535,80.26744186,8.742377436,-9.051001439,4.010077575,13.53436716,17.81124057,0.942118876,68.74337068,282.6251145,141.442251
16,68.125,49.3125,11.5625,0.6875,164,1,1,2,0.006097561,0.006097561,0.012195122,1,1,1,1,1,5,1,0.917,0.77,719.1214573,East,24A,Black Spruce Woodland,Sandy Loam,Mesic - Xeric,0,557.444519,286.5,19.35125675,-149.6924463,67.65614525,11.96532987,-6.713340842,208.3105421,126.3758485,81.9346936,8.737984669,-9.192393559,3.994283011,13.54069791,17.86308165,0.952059121,68.26281838,283.0949982,137.9119214
17,83.625,63.3125,12.375,1.25,244,3,62,0,0.012295082,0.254098361,0,1,0,0,1,3,41,0,0.917,0.77,786.9264283,East,24A,Low Shrub,Clay Loam,Mesic,0,674.2267913,281.25,15.169034,-149.8089088,67.8264615,11.33278913,-7.210442134,215.0897959,130.9877551,84.10204082,8.722449155,-9.116632802,3.982312988,13.52054445,18.13224516,0.945714299,69.26387615,283.0251819,142.0032683
18,55.23529412,40.70588235,10.35294118,2.882352941,238,0,18,16,0,0.075630252,0.067226891,0,1,1,1,0,11,0,0.917,0.77,494.7888465,East,24A,Low Shrub,Sandy Gravel,Mesic,0,821.5627874,293.4705882,21.77393006,-149.7267003,68.00509535,9.089381726,-8.466061825,233.3830645,137.1854839,96.19758065,7.542473255,-10.25117622,2.943010819,12.19207009,10.04717755,0.874361576,52.3994746,292.8120136,127.4004053
19,89.9375,59.375,15.25,0,516,14,18,84,0.027131783,0.034883721,0.162790698,1,1,1,1,0,7,4,0.917,0.77,413.2892055,West,24A,Low Shrub,Sandy Loam,Mesic,0,1043.229828,87.25,23.165564,-149.6064883,68.070003,8.040872356,-8.944427783,306.2014351,169.4696418,136.7317932,7.549789169,-10.24096358,2.94542904,12.20450091,10.28945162,0.873277092,52.87687642,292.6908835,127.9050654
20,56.5625,39.4375,10.1875,0,290,0,3,58,0,0.010344828,0.2,0,1,1,1,0,4,4,0.586,0.27,615.3967465,East,26B,Low Shrub,Sandy Gravel,Mesic - Xeric,0,992.0367128,290,3.66150825,-149.3921778,68.2229315,8.38578399,-9.386391375,308.7871109,172.6770543,136.1100566,5.651432356,-11.80319029,1.176302097,10.16901058,5.981640721,0.762272148,42.16648357,309.3602708,129.7644555
21,61.9375,34.4375,12.9375,0,285,2,0,25,0.007017544,0,0.087719298,1,1,1,1,0,0,2,0.586,0.27,382.854502,East,26B,Low Shrub,Sandy Loam,Mesic,0,885.8942565,296.25,12.14329025,-149.351552,68.301957,8.583178325,-9.566634993,326.5745854,186.5824372,139.9921482,5.651798624,-11.84667285,1.167985626,10.17697858,5.941726714,0.766396896,41.88690569,309.5840263,128.6960456
22,62.35714286,38.64285714,10,1.214285714,329,3,1,69,0.009118541,0.003039514,0.209726444,1,1,1,1,0,1,16,0.586,0.27,193.5275174,West,26B,Low Shrub,Sandy Gravel,Mesic,0,819.5862951,185.0714286,1.355723571,-149.3266735,68.40044843,9.619927178,-8.930849674,319.6636229,192.5760962,127.0875267,5.64512585,-11.81953635,1.168081775,10.16399388,5.986320846,0.765605359,42.32877279,309.4904691,130.4528326
23,48.8125,20.875,9.125,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0.586,0.27,587.6691655,West,26B,Low Shrub-Tussock Tundra,Clay Loam,Mesic,0,825.1341705,191.25,3.53669225,-149.5306265,68.5831355,10.08683574,-8.584208924,284.3405797,171.0072464,113.3333333,10.02173935,-8.260024291,5.387077373,14.70241564,24.48043519,1.000754849,64.43344039,269.915288,102.9115963