ShrubID;long;lat
60-1-A-BENA;-149.840126;65.909691
60-1-B-BENA;-149.840126;65.909691
60-1-B-SAPU;-149.840126;65.909691
60-2-A-BENA;-149.84073;65.909949
60-2-C-SAPU;-149.84073;65.909949
60-2-D-BENA;-149.84073;65.909949
60-2-D-SAPU;-149.84073;65.909949
60-3-A-BENA;-149.840194;65.910114
60-3-A-SAPU;-149.840194;65.910114
60-3-B-SAPU;-149.840194;65.910114
60-3-D-BENA;-149.840194;65.910114
60-4-A-BENA;-149.840942;65.910317
60-4-A-SAPU;-149.840942;65.910317
60-4-B-BENA;-149.840942;65.910317
60-4-D-SAPU;-149.840942;65.910317
72-1-A-SAPU;-150.14017;66.022623
72-1-C-BENA;-150.14017;66.022623
72-1-C-SAGL;-150.14017;66.022623
72-1-D-BENA;-150.14017;66.022623
72-1-D-SAPU;-150.14017;66.022623
72-2-A-BENA;-150.13956;66.022889
72-2-A-SAGL;-150.13956;66.022889
72-2-B-BENA;-150.13956;66.022889
72-2-C-SAPU;-150.13956;66.022889
72-2-D-SAPU;-150.13956;66.022889
72-3-A-SAGL;-150.140609;66.023021
72-3-B-SAPU;-150.140609;66.023021
72-3-C-BENA;-150.140609;66.023021
72-3-D-BENA;-150.140609;66.023021
72-3-D-SAGL;-150.140609;66.023021
72-4-A-BENA;-150.139994;66.023305
72-4-B-SAPU;-150.139994;66.023305
72-4-D-BENA;-150.139994;66.023305
72-4-D-SAPU;-150.139994;66.023305
86-1-A-BENA;-150.2773;66.212913
86-1-A-SABE;-150.2773;66.212913
86-1-B-BENA;-150.2773;66.212913
86-1-D-SABE;-150.2773;66.212913
86-2-A-BENA;-150.278061;66.212989
86-2-B-BENA;-150.278061;66.212989
86-2-C-SABE;-150.278061;66.212989
86-2-D-SABE;-150.278061;66.212989
86-3-A-BENA;-150.277761;66.213303
86-3-C-SABE;-150.277761;66.213303
86-3-D-BENA;-150.277761;66.213303
86-3-D-SABE;-150.277761;66.213303
86-4-A-SABE;-150.278532;66.213405
86-4-C-BENA;-150.278532;66.213405
86-4-D-BENA;-150.278532;66.213405
86-4-D-SABE;-150.278532;66.213405
97-1-B-SAPU;-150.432109;66.348765
97-1-C-BENA;-150.432109;66.348765
97-1-D-BENA;-150.432109;66.348765
97-1-D-SAPU;-150.432109;66.348765
97-2-A-BENA;-150.43305;66.348843
97-2-B-BENA;-150.43305;66.348843
97-2-B-SAPU;-150.43305;66.348843
97-2-C-SAPU;-150.43305;66.348843
97-3-A-BENA;-150.432427;66.349149
97-3-D-BENA;-150.432427;66.349149
97-3-D-SAPU;-150.432427;66.349149
97-4-B-BENA;-150.433152;66.349294
97-4-D-BENA;-150.433152;66.349294
102-1-B-BENA;-150.565499;66.400721
102-1-C-BENA;-150.565499;66.400721
102-1-C-SAPU;-150.565499;66.400721
102-1-D-SAPU;-150.565499;66.400721
102-2-A-SAPU;-150.566012;66.400957
102-2-B-BENA;-150.566012;66.400957
102-2-C-BENA;-150.566012;66.400957
102-2-C-SAPU;-150.566012;66.400957
102-3-A-BENA;-150.565669;66.401242
102-3-A-SAPU;-150.565669;66.401242
102-3-B-BENA;-150.565669;66.401242
102-3-D-SAPU;-150.565669;66.401242
102-4-A-BENA;-150.566049;66.401434
102-4-A-SAPU;-150.566049;66.401434
102-4-C-BENA;-150.566049;66.401434
102-4-C-SAPU;-150.566049;66.401434
111-1-A-BENA;-150.736683;66.498494
111-1-B-BENA;-150.736683;66.498494
111-2-A-BENA;-150.737535;66.498284
111-2-C-SAPU;-150.737535;66.498284
111-2-D-BENA;-150.737535;66.498284
111-3-A-BENA;-150.737553;66.498636
111-3-D-BENA;-150.737553;66.498636
111-4-A-BENA;-150.73833;66.498407
111-4-C-BENA;-150.73833;66.498407
121-1-C-BENA;-150.675843;66.599029
121-1-D-BENA;-150.675843;66.599029
121-2-A-BENA;-150.676297;66.599294
121-2-B-BENA;-150.676297;66.599294
121-3-C-BENA;-150.675497;66.599464
121-3-D-BENA;-150.675497;66.599464
121-4-A-BENA;-150.675949;66.599719
121-4-B-BENA;-150.675949;66.599719
129-1-A-BENA;-150.647865;66.709988
129-1-B-BENA;-150.647865;66.709988
129-2-B-BENA;-150.647276;66.70977
129-2-C-BENA;-150.647276;66.70977
129-2-C-SAPU;-150.647276;66.70977
129-3-A-BENA;-150.646771;66.710061
129-3-B-BENA;-150.646771;66.710061
129-4-A-SAPU;-150.646167;66.709845
129-4-B-SAPU;-150.646167;66.709845
129-4-C-BENA;-150.646167;66.709845
129-4-D-BENA;-150.646167;66.709845
147-1-A-BENA;-150.485282;66.911769
147-1-A-SAPU;-150.485282;66.911769
147-1-B-BENA;-150.485282;66.911769
147-1-D-SAPU;-150.485282;66.911769
147-2-A-BENA;-150.484958;66.912025
147-2-B-SAPU;-150.484958;66.912025
147-2-C-SAPU;-150.484958;66.912025
147-2-D-BENA;-150.484958;66.912025
147-3-A-BENA;-150.484233;66.911912
147-3-B-SAPU;-150.484233;66.911912
147-3-C-BENA;-150.484233;66.911912
147-3-C-SAPU;-150.484233;66.911912
147-4-A-BENA;-150.483929;66.912191
147-4-A-SAPU;-150.483929;66.912191
147-4-C-SAPU;-150.483929;66.912191
147-4-D-BENA;-150.483929;66.912191
151-1-C-BENA;-150.362735;66.958242
151-1-D-BENA;-150.362735;66.958242
151-2-A-BENA;-150.361917;66.958285
151-2-B-BENA;-150.361917;66.958285
151-3-A-BENA;-150.36215;66.958641
151-3-C-BENA;-150.36215;66.958641
151-4-A-BENA;-150.361301;66.958638
151-4-B-SAPU;-150.361301;66.958638
151-4-D-BENA;-150.361301;66.958638
158-1-A-SAPU;-150.285356;67.046606
158-1-B-BENA;-150.285356;67.046606
158-1-C-SAPU;-150.285356;67.046606
158-1-D-BENA;-150.285356;67.046606
158-1-D-SAGL;-150.285356;67.046606
158-2-B-BENA;-150.286104;67.046812
158-2-C-BENA;-150.286104;67.046812
158-2-C-SAPU;-150.286104;67.046812
158-2-D-SAPU;-150.286104;67.046812
158-3-A-BENA;-150.285679;67.047111
158-3-A-SAPU;-150.285679;67.047111
158-3-B-SAPU;-150.285679;67.047111
158-3-D-BENA;-150.285679;67.047111
158-4-A-BENA;-150.286524;67.047197
158-4-C-BENA;-150.286524;67.047197
158-4-C-SAPU;-150.286524;67.047197
173-1-A-BENA;-150.191497;67.228159
173-1-A-SAPU;-150.191497;67.228159
173-1-B-BENA;-150.191497;67.228159
173-1-B-SAPU;-150.191497;67.228159
173-2-A-BENA;-150.190835;67.228457
173-2-C-BENA;-150.190835;67.228457
173-2-C-SAPU;-150.190835;67.228457
173-2-D-SAPU;-150.190835;67.228457
173-3-A-SAPU;-150.191816;67.228627
173-3-B-BENA;-150.191816;67.228627
173-3-B-SAPU;-150.191816;67.228627
173-3-C-BENA;-150.191816;67.228627
173-4-B-BENA;-150.190975;67.22891
173-4-B-SAPU;-150.190975;67.22891
173-4-C-BENA;-150.190975;67.22891
173-4-C-SAPU;-150.190975;67.22891
184-1-A-SAPU;-150.109686;67.368938
184-1-B-BENA;-150.109686;67.368938
184-1-C-BENA;-150.109686;67.368938
184-1-C-SAPU;-150.109686;67.368938
184-2-A-BENA;-150.109279;67.369156
184-2-A-SAPU;-150.109279;67.369156
184-2-D-BENA;-150.109279;67.369156
184-2-D-SAPU;-150.109279;67.369156
184-3-B-BENA;-150.109693;67.36937
184-3-C-SAPU;-150.109693;67.36937
184-3-D-BENA;-150.109693;67.36937
184-3-D-SAPU;-150.109693;67.36937
184-4-C-SAPU;-150.109187;67.369491
184-4-D-SAPU;-150.109187;67.369491
191-1-B-SAPU;-149.860617;67.475764
191-1-C-BENA;-149.860617;67.475764
191-1-C-SAPU;-149.860617;67.475764
191-1-D-BENA;-149.860617;67.475764
191-2-A-BENA;-149.859771;67.475671
191-2-A-SAPU;-149.859771;67.475671
191-2-B-BENA;-149.859771;67.475671
191-2-B-SAPU;-149.859771;67.475671
191-3-A-BENA;-149.859591;67.475979
191-3-A-SAPU;-149.859591;67.475979
191-3-B-SAPU;-149.859591;67.475979
191-3-D-BENA;-149.859591;67.475979
191-4-A-BENA;-149.85875;67.475963
191-4-A-SAPU;-149.85875;67.475963
191-4-B-BENA;-149.85875;67.475963
191-4-D-SAPU;-149.85875;67.475963
203-1-A-BENA;-149.794431;67.571449
203-1-C-SAPU;-149.794431;67.571449
203-1-D-BENA;-149.794431;67.571449
203-1-D-SAPU;-149.794431;67.571449
203-2-A-SAPU;-149.793674;67.571447
203-2-B-BENA;-149.793674;67.571447
203-2-B-SAPU;-149.793674;67.571447
203-2-C-BENA;-149.793674;67.571447
203-3-B-BENA;-149.79364;67.571701
203-3-B-SAPU;-149.79364;67.571701
203-3-D-BENA;-149.79364;67.571701
203-3-D-SAPU;-149.79364;67.571701
203-4-A-BENA;-149.792864;67.571712
203-4-B-BENA;-149.792864;67.571712
203-4-B-SAPU;-149.792864;67.571712
203-4-C-SAPU;-149.792864;67.571712
209-1-C-BENA;-149.692986;67.655886
209-1-C-SAPU;-149.692986;67.655886
209-1-D-BENA;-149.692986;67.655886
209-1-D-SAPU;-149.692986;67.655886
209-2-A-SAPU;-149.692261;67.656
209-2-B-BENA;-149.692261;67.656
209-2-D-BENA;-149.692261;67.656
209-2-D-SAPU;-149.692261;67.656
209-3-A-BENA;-149.69261;67.656251
209-3-A-SAPU;-149.69261;67.656251
209-3-B-SAPU;-149.69261;67.656251
209-3-D-BENA;-149.69261;67.656251
209-4-A-SAPU;-149.691928;67.656444
209-4-B-SAPU;-149.691928;67.656444
209-4-C-BENA;-149.691928;67.656444
209-4-D-BENA;-149.691928;67.656444
222-1-A-SAGL;-149.809491;67.826198
222-1-B-BENA;-149.809491;67.826198
222-1-C-SAGL;-149.809491;67.826198
222-1-D-BENA;-149.809491;67.826198
222-2-A-BENA;-149.808768;67.826375
222-2-B-SAGL;-149.808768;67.826375
222-2-C-SAGL;-149.808768;67.826375
222-2-D-BENA;-149.808768;67.826375
222-3-A-BENA;-149.809021;67.826615
222-3-B-BENA;-149.809021;67.826615
222-3-B-SAGL;-149.809021;67.826615
222-3-D-SAGL;-149.809021;67.826615
222-4-A-SAGL;-149.808355;67.826658
222-4-C-BENA;-149.808355;67.826658
222-4-C-SAGL;-149.808355;67.826658
222-4-D-BENA;-149.808355;67.826658
235-1-A-BENA;-149.727576;68.004859
235-1-B-BENA;-149.727576;68.004859
235-1-C-SAPU;-149.727576;68.004859
235-1-D-SAPU;-149.727576;68.004859
235-2-A-BENA;-149.726481;68.004961
235-2-B-SAPU;-149.726481;68.004961
235-2-C-BENA;-149.726481;68.004961
235-2-C-SAPU;-149.726481;68.004961
235-3-B-BENA;-149.726784;68.005244
235-3-B-SAPU;-149.726784;68.005244
235-3-C-BENA;-149.726784;68.005244
235-3-D-SAPU;-149.726784;68.005244
235-4-A-BENA;-149.726015;68.005351
235-4-A-SAPU;-149.726015;68.005351
235-4-C-BENA;-149.726015;68.005351
235-4-C-SAPU;-149.726015;68.005351
240-1-B-SAPU;-149.606437;68.069578
240-1-C-BENA;-149.606437;68.069578
240-1-D-BENA;-149.606437;68.069578
240-1-D-SAPU;-149.606437;68.069578
240-2-A-BENA;-149.606886;68.069926
240-2-A-SAPU;-149.606886;68.069926
240-2-C-SAPU;-149.606886;68.069926
240-2-D-BENA;-149.606886;68.069926
240-3-A-BENA;-149.606025;68.07014
240-3-B-SAPU;-149.606025;68.07014
240-3-D-BENA;-149.606025;68.07014
240-3-D-SAPU;-149.606025;68.07014
240-4-B-BENA;-149.606605;68.070368
240-4-B-SAPU;-149.606605;68.070368
240-4-D-BENA;-149.606605;68.070368
240-4-D-SAPU;-149.606605;68.070368
255-1-A-BENA;-149.392735;68.222633
255-1-B-BENA;-149.392735;68.222633
255-1-C-SAGL;-149.392735;68.222633
255-1-D-SAGL;-149.392735;68.222633
255-2-A-SAPU;-149.39171;68.222788
255-2-C-BENA;-149.39171;68.222788
255-2-D-BENA;-149.39171;68.222788
255-2-D-SAPU;-149.39171;68.222788
255-3-A-BENA;-149.392647;68.223106
255-3-A-SAPU;-149.392647;68.223106
255-3-C-SAPU;-149.392647;68.223106
255-3-D-BENA;-149.392647;68.223106
255-4-A-SAPU;-149.391619;68.223199
255-4-B-BENA;-149.391619;68.223199
255-4-D-BENA;-149.391619;68.223199
255-4-D-SAPU;-149.391619;68.223199
261-1-B-SAPU;-149.352299;68.301689
261-1-C-BENA;-149.352299;68.301689
261-1-C-SAPU;-149.352299;68.301689
261-1-D-BENA;-149.352299;68.301689
261-2-B-BENA;-149.351465;68.301786
261-2-C-BENA;-149.351465;68.301786
261-2-C-SAPU;-149.351465;68.301786
261-2-D-SAPU;-149.351465;68.301786
261-3-A-BENA;-149.351558;68.302088
261-3-A-SAPU;-149.351558;68.302088
261-3-D-BENA;-149.351558;68.302088
261-3-D-SAPU;-149.351558;68.302088
261-4-A-BENA;-149.350886;68.302265
261-4-A-SAPU;-149.350886;68.302265
261-4-B-BENA;-149.350886;68.302265
261-4-B-SAPU;-149.350886;68.302265
268-1-B-BENA;-149.327109;68.400098
268-1-C-BENA;-149.327109;68.400098
268-1-C-SAPU;-149.327109;68.400098
268-1-D-SAPU;-149.327109;68.400098
268-2-A-BENA;-149.326454;68.400307
268-2-A-SAPU;-149.326454;68.400307
268-2-B-SAPU;-149.326454;68.400307
268-3-B-SAPU;-149.326989;68.400547
268-3-C-BENA;-149.326989;68.400547
268-3-D-SAPU;-149.326989;68.400547
268-4-C-BENA;-149.326166;68.400831
268-4-C-SAPU;-149.326166;68.400831
268-4-D-BENA;-149.326166;68.400831
268-4-D-SAPU;-149.326166;68.400831
282-1-B-BENA;-149.530032;68.582817
282-1-C-SAPU;-149.530032;68.582817
282-1-D-BENA;-149.530032;68.582817
282-1-D-SAPU;-149.530032;68.582817
282-2-A-BENA;-149.530916;68.583004
282-2-B-BENA;-149.530916;68.583004
282-2-B-SAPU;-149.530916;68.583004
282-2-D-SAPU;-149.530916;68.583004
282-3-A-SAPU;-149.53038;68.583298
282-3-B-BENA;-149.53038;68.583298
282-3-D-BENA;-149.53038;68.583298
282-3-D-SAPU;-149.53038;68.583298
282-4-A-BENA;-149.531178;68.583423
282-4-C-BENA;-149.531178;68.583423
282-4-C-SAPU;-149.531178;68.583423
282-4-D-SAPU;-149.531178;68.583423
